sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
electronReco,central,0.0,45.0,-2.5,-2.0,0.9774820804595947
electronReco,up,0.0,45.0,-2.5,-2.0,0.9850612306763507
electronReco,down,0.0,45.0,-2.5,-2.0,0.9699029302428388
electronReco,central,45.0,75.0,-2.5,-2.0,0.9836734533309937
electronReco,up,45.0,75.0,-2.5,-2.0,0.9873802302603625
electronReco,down,45.0,75.0,-2.5,-2.0,0.9799666764016248
electronReco,central,75.0,100.0,-2.5,-2.0,0.9969512224197388
electronReco,up,75.0,100.0,-2.5,-2.0,1.0119904994389957
electronReco,down,75.0,100.0,-2.5,-2.0,0.9819119454004819
electronReco,central,100.0,99999.0,-2.5,-2.0,0.9899091720581055
electronReco,up,100.0,99999.0,-2.5,-2.0,0.9995351983085288
electronReco,down,100.0,99999.0,-2.5,-2.0,0.9802831458076822
electronReco,central,0.0,45.0,-2.0,-1.566,0.9816138744354248
electronReco,up,0.0,45.0,-2.0,-1.566,0.9842167429977489
electronReco,down,0.0,45.0,-2.0,-1.566,0.9790110058731007
electronReco,central,45.0,75.0,-2.0,-1.566,0.9817073345184326
electronReco,up,45.0,75.0,-2.0,-1.566,0.9855751725610247
electronReco,down,45.0,75.0,-2.0,-1.566,0.9778394964758406
electronReco,central,75.0,100.0,-2.0,-1.566,0.9969543218612671
electronReco,up,75.0,100.0,-2.0,-1.566,1.0047524393717937
electronReco,down,75.0,100.0,-2.0,-1.566,0.9891562043507406
electronReco,central,100.0,99999.0,-2.0,-1.566,0.9898887872695923
electronReco,up,100.0,99999.0,-2.0,-1.566,0.9947379596895243
electronReco,down,100.0,99999.0,-2.0,-1.566,0.9850396148496603
electronReco,central,0.0,45.0,-1.566,-1.444,0.9483516216278076
electronReco,up,0.0,45.0,-1.566,-1.444,0.9622868197091357
electronReco,down,0.0,45.0,-1.566,-1.444,0.9344164235464796
electronReco,central,45.0,75.0,-1.566,-1.444,0.9706190824508667
electronReco,up,45.0,75.0,-1.566,-1.444,0.9845460296307306
electronReco,down,45.0,75.0,-1.566,-1.444,0.9566921352710028
electronReco,central,75.0,100.0,-1.566,-1.444,1.0032292604446411
electronReco,up,75.0,100.0,-1.566,-1.444,1.0440483890256067
electronReco,down,75.0,100.0,-1.566,-1.444,0.9624101318636754
electronReco,central,100.0,99999.0,-1.566,-1.444,1.0095949172973633
electronReco,up,100.0,99999.0,-1.566,-1.444,1.0587164782078462
electronReco,down,100.0,99999.0,-1.566,-1.444,0.9604733563868804
electronReco,central,0.0,45.0,-1.444,-1.0,0.9692623019218445
electronReco,up,0.0,45.0,-1.444,-1.0,0.9742864227181377
electronReco,down,0.0,45.0,-1.444,-1.0,0.9642381811255513
electronReco,central,45.0,75.0,-1.444,-1.0,0.9755351543426514
electronReco,up,45.0,75.0,-1.444,-1.0,0.979909964248088
electronReco,down,45.0,75.0,-1.444,-1.0,0.9711603444372148
electronReco,central,75.0,100.0,-1.444,-1.0,0.9959016442298889
electronReco,up,75.0,100.0,-1.444,-1.0,1.003771670610902
electronReco,down,75.0,100.0,-1.444,-1.0,0.9880316178488759
electronReco,central,100.0,99999.0,-1.444,-1.0,0.9847250580787659
electronReco,up,100.0,99999.0,-1.444,-1.0,0.9910024654137648
electronReco,down,100.0,99999.0,-1.444,-1.0,0.9784476507437669
electronReco,central,0.0,45.0,-1.0,-0.5,0.9765545129776001
electronReco,up,0.0,45.0,-1.0,-0.5,0.9813406515080322
electronReco,down,0.0,45.0,-1.0,-0.5,0.971768374447168
electronReco,central,45.0,75.0,-1.0,-0.5,0.9796954393386841
electronReco,up,45.0,75.0,-1.0,-0.5,0.982333080162393
electronReco,down,45.0,75.0,-1.0,-0.5,0.9770577985149752
electronReco,central,75.0,100.0,-1.0,-0.5,0.9918946027755737
electronReco,up,75.0,100.0,-1.0,-0.5,0.99437635530119
electronReco,down,75.0,100.0,-1.0,-0.5,0.9894128502499575
electronReco,central,100.0,99999.0,-1.0,-0.5,0.9878910183906555
electronReco,up,100.0,99999.0,-1.0,-0.5,0.9928344891127204
electronReco,down,100.0,99999.0,-1.0,-0.5,0.9829475476685906
electronReco,central,0.0,45.0,-0.5,0.0,0.9703779220581055
electronReco,up,0.0,45.0,-0.5,0.0,0.9771953283249047
electronReco,down,0.0,45.0,-0.5,0.0,0.9635605157913062
electronReco,central,45.0,75.0,-0.5,0.0,0.9796541333198547
electronReco,up,45.0,75.0,-0.5,0.0,0.9822971406559212
electronReco,down,45.0,75.0,-0.5,0.0,0.9770111259837883
electronReco,central,75.0,100.0,-0.5,0.0,0.9919028282165527
electronReco,up,75.0,100.0,-0.5,0.0,0.9958228518463174
electronReco,down,75.0,100.0,-0.5,0.0,0.9879828045867881
electronReco,central,100.0,99999.0,-0.5,0.0,0.9939332604408264
electronReco,up,100.0,99999.0,-0.5,0.0,0.9956845757164269
electronReco,down,100.0,99999.0,-0.5,0.0,0.992181945165226
electronReco,central,0.0,45.0,0.0,0.5,0.9703476428985596
electronReco,up,0.0,45.0,0.0,0.5,0.9771650491653588
electronReco,down,0.0,45.0,0.0,0.5,0.9635302366317603
electronReco,central,45.0,75.0,0.0,0.5,0.9776195287704468
electronReco,up,45.0,75.0,0.0,0.5,0.9802625361065133
electronReco,down,45.0,75.0,0.0,0.5,0.9749765214343803
electronReco,central,75.0,100.0,0.0,0.5,0.9919028282165527
electronReco,up,75.0,100.0,0.0,0.5,0.9958228518463174
electronReco,down,75.0,100.0,0.0,0.5,0.9879828045867881
electronReco,central,100.0,99999.0,0.0,0.5,0.9939332604408264
electronReco,up,100.0,99999.0,0.0,0.5,0.9956845757164269
electronReco,down,100.0,99999.0,0.0,0.5,0.992181945165226
electronReco,central,0.0,45.0,0.5,1.0,0.9724208116531372
electronReco,up,0.0,45.0,0.5,1.0,0.9772069501835693
electronReco,down,0.0,45.0,0.5,1.0,0.9676346731227051
electronReco,central,45.0,75.0,0.5,1.0,0.9786801934242249
electronReco,up,45.0,75.0,0.5,1.0,0.9813178342479337
electronReco,down,45.0,75.0,0.5,1.0,0.976042552600516
electronReco,central,75.0,100.0,0.5,1.0,0.9918946027755737
electronReco,up,75.0,100.0,0.5,1.0,0.99437635530119
electronReco,down,75.0,100.0,0.5,1.0,0.9894128502499575
electronReco,central,100.0,99999.0,0.5,1.0,0.9878910183906555
electronReco,up,100.0,99999.0,0.5,1.0,0.9928344891127204
electronReco,down,100.0,99999.0,0.5,1.0,0.9829475476685906
electronReco,central,0.0,45.0,1.0,1.444,0.9699169993400574
electronReco,up,0.0,45.0,1.0,1.444,0.9749411201363506
electronReco,down,0.0,45.0,1.0,1.444,0.9648928785437642
electronReco,central,45.0,75.0,1.0,1.444,0.9773662686347961
electronReco,up,45.0,75.0,1.0,1.444,0.9817410785402327
electronReco,down,45.0,75.0,1.0,1.444,0.9729914587293595
electronReco,central,75.0,100.0,1.0,1.444,0.9959016442298889
electronReco,up,75.0,100.0,1.0,1.444,1.003771670610902
electronReco,down,75.0,100.0,1.0,1.444,0.9880316178488759
electronReco,central,100.0,99999.0,1.0,1.444,0.9847250580787659
electronReco,up,100.0,99999.0,1.0,1.444,0.9910024654137648
electronReco,down,100.0,99999.0,1.0,1.444,0.9784476507437669
electronReco,central,0.0,45.0,1.444,1.566,0.9579645991325378
electronReco,up,0.0,45.0,1.444,1.566,0.9718997972138659
electronReco,down,0.0,45.0,1.444,1.566,0.9440294010512098
electronReco,central,45.0,75.0,1.444,1.566,0.9639448523521423
electronReco,up,45.0,75.0,1.444,1.566,0.9778992369041708
electronReco,down,45.0,75.0,1.444,1.566,0.9499904678001139
electronReco,central,75.0,100.0,1.444,1.566,1.0032292604446411
electronReco,up,75.0,100.0,1.444,1.566,1.0440483890256067
electronReco,down,75.0,100.0,1.444,1.566,0.9624101318636754
electronReco,central,100.0,99999.0,1.444,1.566,1.0095949172973633
electronReco,up,100.0,99999.0,1.444,1.566,1.0587164782078462
electronReco,down,100.0,99999.0,1.444,1.566,0.9604733563868804
electronReco,central,0.0,45.0,1.566,2.0,0.9795918464660645
electronReco,up,0.0,45.0,1.566,2.0,0.9821947150283885
electronReco,down,0.0,45.0,1.566,2.0,0.9769889779037404
electronReco,central,45.0,75.0,1.566,2.0,0.982741117477417
electronReco,up,45.0,75.0,1.566,2.0,0.986608955520009
electronReco,down,45.0,75.0,1.566,2.0,0.9788732794348249
electronReco,central,75.0,100.0,1.566,2.0,0.9969543218612671
electronReco,up,75.0,100.0,1.566,2.0,1.0047524393717937
electronReco,down,75.0,100.0,1.566,2.0,0.9891562043507406
electronReco,central,100.0,99999.0,1.566,2.0,0.9898887872695923
electronReco,up,100.0,99999.0,1.566,2.0,0.9947379596895243
electronReco,down,100.0,99999.0,1.566,2.0,0.9850396148496603
electronReco,central,0.0,45.0,2.0,2.5,0.9795918464660645
electronReco,up,0.0,45.0,2.0,2.5,0.9871709966828204
electronReco,down,0.0,45.0,2.0,2.5,0.9720126962493085
electronReco,central,45.0,75.0,2.0,2.5,0.9837398529052734
electronReco,up,45.0,75.0,2.0,2.5,0.9874466298346423
electronReco,down,45.0,75.0,2.0,2.5,0.9800330759759046
electronReco,central,75.0,100.0,2.0,2.5,0.9969512224197388
electronReco,up,75.0,100.0,2.0,2.5,1.0119904994389957
electronReco,down,75.0,100.0,2.0,2.5,0.9819119454004819
electronReco,central,100.0,99999.0,2.0,2.5,0.9899091720581055
electronReco,up,100.0,99999.0,2.0,2.5,0.9995351983085288
electronReco,down,100.0,99999.0,2.0,2.5,0.9802831458076822
